,name,state,year,quarter,count,amount
0,Recharge & bill payments,andaman-&-nicobar-islands,2018,1,4200,1845307.4673655091
1,Peer-to-peer payments,andaman-&-nicobar-islands,2018,1,1871,12138655.299749982
2,Merchant payments,andaman-&-nicobar-islands,2018,1,298,452507.168646613
3,Financial Services,andaman-&-nicobar-islands,2018,1,33,10601.419933464953
4,Others,andaman-&-nicobar-islands,2018,1,256,184689.8662902223
5,Recharge & bill payments,andaman-&-nicobar-islands,2018,2,6735,2320944.731074479
6,Peer-to-peer payments,andaman-&-nicobar-islands,2018,2,3575,24511925.231047668
7,Merchant payments,andaman-&-nicobar-islands,2018,2,603,1024491.0133579008
8,Financial Services,andaman-&-nicobar-islands,2018,2,59,121336.0270987509
9,Others,andaman-&-nicobar-islands,2018,2,368,359838.50537474576
10,Recharge & bill payments,andaman-&-nicobar-islands,2018,3,8636,4343504.868377829
11,Peer-to-peer payments,andaman-&-nicobar-islands,2018,3,6448,49270781.541635044
12,Merchant payments,andaman-&-nicobar-islands,2018,3,945,1627359.8394868043
13,Financial Services,andaman-&-nicobar-islands,2018,3,42,1481.4907042806485
14,Others,andaman-&-nicobar-islands,2018,3,194,314343.39410715323
15,Recharge & bill payments,andaman-&-nicobar-islands,2018,4,11517,5450549.512294375
16,Peer-to-peer payments,andaman-&-nicobar-islands,2018,4,10451,81001456.97825177
17,Merchant payments,andaman-&-nicobar-islands,2018,4,1421,3552027.735492656
18,Financial Services,andaman-&-nicobar-islands,2018,4,29,76035.7877393286
19,Others,andaman-&-nicobar-islands,2018,4,340,468266.0606770435
20,Recharge & bill payments,andaman-&-nicobar-islands,2019,1,15263,6611459.8729725825
21,Peer-to-peer payments,andaman-&-nicobar-islands,2019,1,13119,91808345.86839552
22,Merchant payments,andaman-&-nicobar-islands,2019,1,1759,3266589.8469614363
23,Financial Services,andaman-&-nicobar-islands,2019,1,62,116250.43671861099
24,Others,andaman-&-nicobar-islands,2019,1,283,497094.6484417205
25,Recharge & bill payments,andaman-&-nicobar-islands,2019,2,14676,7242448.256212333
26,Peer-to-peer payments,andaman-&-nicobar-islands,2019,2,14481,107525358.66652842
27,Merchant payments,andaman-&-nicobar-islands,2019,2,4031,4702152.616619372
28,Financial Services,andaman-&-nicobar-islands,2019,2,124,113278.91371326067
29,Others,andaman-&-nicobar-islands,2019,2,377,671471.222589792
30,Recharge & bill payments,andaman-&-nicobar-islands,2019,3,16219,8171737.705916681
31,Peer-to-peer payments,andaman-&-nicobar-islands,2019,3,13767,101079821.10344616
32,Merchant payments,andaman-&-nicobar-islands,2019,3,3519,4428734.574846684
33,Financial Services,andaman-&-nicobar-islands,2019,3,50,158857.94315586874
34,Others,andaman-&-nicobar-islands,2019,3,215,232624.75992853564
35,Peer-to-peer payments,andaman-&-nicobar-islands,2019,4,18128,121493224.30754511
36,Recharge & bill payments,andaman-&-nicobar-islands,2019,4,13851,9538690.916424634
37,Merchant payments,andaman-&-nicobar-islands,2019,4,2920,5247500.487902376
38,Financial Services,andaman-&-nicobar-islands,2019,4,60,295937.2110898865
39,Others,andaman-&-nicobar-islands,2019,4,200,263177.5944158883
40,Peer-to-peer payments,andaman-&-nicobar-islands,2020,1,18324,142332401.79234773
41,Recharge & bill payments,andaman-&-nicobar-islands,2020,1,18268,10850414.023977457
42,Merchant payments,andaman-&-nicobar-islands,2020,1,4424,7752871.558217709
43,Financial Services,andaman-&-nicobar-islands,2020,1,66,208231.73071652642
44,Others,andaman-&-nicobar-islands,2020,1,216,332393.19201521645
45,Recharge & bill payments,andaman-&-nicobar-islands,2020,2,38125,17659622.73418829
46,Peer-to-peer payments,andaman-&-nicobar-islands,2020,2,20303,141728757.73517442
47,Merchant payments,andaman-&-nicobar-islands,2020,2,4004,9236375.740471343
48,Financial Services,andaman-&-nicobar-islands,2020,2,175,706932.1397115812
49,Others,andaman-&-nicobar-islands,2020,2,355,313313.0646014327
50,Recharge & bill payments,andaman-&-nicobar-islands,2020,3,59310,24756220.875469353
51,Peer-to-peer payments,andaman-&-nicobar-islands,2020,3,40697,289078946.7312394
52,Merchant payments,andaman-&-nicobar-islands,2020,3,16096,22682992.238478824
53,Financial Services,andaman-&-nicobar-islands,2020,3,572,961836.7129860274
54,Others,andaman-&-nicobar-islands,2020,3,808,539449.7721868362
55,Peer-to-peer payments,andaman-&-nicobar-islands,2020,4,81439,533316526.1814983
56,Recharge & bill payments,andaman-&-nicobar-islands,2020,4,80811,33710030.534383245
57,Merchant payments,andaman-&-nicobar-islands,2020,4,59391,56867468.940003954
58,Financial Services,andaman-&-nicobar-islands,2020,4,965,1880546.9672370641
59,Others,andaman-&-nicobar-islands,2020,4,1925,1508083.6917299272
60,Peer-to-peer payments,andaman-&-nicobar-islands,2021,1,105458,665391395.715478
61,Recharge & bill payments,andaman-&-nicobar-islands,2021,1,84119,37160922.86506996
62,Merchant payments,andaman-&-nicobar-islands,2021,1,53090,78606979.05751458
63,Financial Services,andaman-&-nicobar-islands,2021,1,884,1469351.0852598653
64,Others,andaman-&-nicobar-islands,2021,1,1201,1077918.666433228
65,Peer-to-peer payments,andaman-&-nicobar-islands,2021,2,132772,748382044.7707307
66,Recharge & bill payments,andaman-&-nicobar-islands,2021,2,120911,43691961.26275121
67,Merchant payments,andaman-&-nicobar-islands,2021,2,85143,103707408.50908463
68,Financial Services,andaman-&-nicobar-islands,2021,2,960,2038521.5136710338
69,Others,andaman-&-nicobar-islands,2021,2,1628,1327080.0560584562
70,Peer-to-peer payments,andaman-&-nicobar-islands,2021,3,192321,1077787837.1562996
71,Recharge & bill payments,andaman-&-nicobar-islands,2021,3,136010,51243450.85925055
72,Merchant payments,andaman-&-nicobar-islands,2021,3,118340,176991328.21761328
73,Financial Services,andaman-&-nicobar-islands,2021,3,990,2351013.441729573
74,Others,andaman-&-nicobar-islands,2021,3,2103,1650766.1267105162
75,Peer-to-peer payments,andaman-&-nicobar-islands,2021,4,285778,1544932663.2744582
76,Merchant payments,andaman-&-nicobar-islands,2021,4,210164,322842314.62433755
77,Recharge & bill payments,andaman-&-nicobar-islands,2021,4,135608,59243518.11464358
78,Financial Services,andaman-&-nicobar-islands,2021,4,1718,3137965.167474068
79,Others,andaman-&-nicobar-islands,2021,4,2855,2453640.142743944
80,Peer-to-peer payments,andaman-&-nicobar-islands,2022,1,342649,1682328505.7254477
81,Merchant payments,andaman-&-nicobar-islands,2022,1,284298,370091558.68373305
82,Recharge & bill payments,andaman-&-nicobar-islands,2022,1,163401,71300133.66101266
83,Financial Services,andaman-&-nicobar-islands,2022,1,1757,2869682.0229511866
84,Others,andaman-&-nicobar-islands,2022,1,2643,2440321.9820225406
85,Recharge & bill payments,andhra-pradesh,2018,1,5027448,892293975.6698562
86,Peer-to-peer payments,andhra-pradesh,2018,1,3049646,10524250283.178782
87,Merchant payments,andhra-pradesh,2018,1,362672,247297640.24000686
88,Financial Services,andhra-pradesh,2018,1,204305,44808449.7639544
89,Others,andhra-pradesh,2018,1,395514,287626042.970705
90,Recharge & bill payments,andhra-pradesh,2018,2,6456387,1598591488.4880352
91,Peer-to-peer payments,andhra-pradesh,2018,2,4745000,20451493098.8953
92,Merchant payments,andhra-pradesh,2018,2,604847,436785223.86032957
93,Financial Services,andhra-pradesh,2018,2,225621,68952114.81374599
94,Others,andhra-pradesh,2018,2,322063,328092346.575651
95,Peer-to-peer payments,andhra-pradesh,2018,3,16129591,32738630444.668724
96,Recharge & bill payments,andhra-pradesh,2018,3,7542005,1949098146.8941927
97,Merchant payments,andhra-pradesh,2018,3,1225416,685277254.5076212
98,Financial Services,andhra-pradesh,2018,3,380324,60790077.57437308
99,Others,andhra-pradesh,2018,3,348725,284248675.5700202
100,Peer-to-peer payments,andhra-pradesh,2018,4,17580086,47011639726.13608
101,Recharge & bill payments,andhra-pradesh,2018,4,9767083,2418164314.470957
102,Merchant payments,andhra-pradesh,2018,4,2622131,1671585888.568256
103,Financial Services,andhra-pradesh,2018,4,400837,57178116.40322068
104,Others,andhra-pradesh,2018,4,389411,315211361.26249415
105,Peer-to-peer payments,andhra-pradesh,2019,1,37420988,77524329742.2595
106,Recharge & bill payments,andhra-pradesh,2019,1,14022264,3480641602.3771377
107,Merchant payments,andhra-pradesh,2019,1,5043682,2423536770.3706346
108,Financial Services,andhra-pradesh,2019,1,416325,47150177.52982048
109,Others,andhra-pradesh,2019,1,361263,284937624.5393019
110,Peer-to-peer payments,andhra-pradesh,2019,2,32494402,103924649232.47021
111,Recharge & bill payments,andhra-pradesh,2019,2,14093964,4708345387.9101095
112,Merchant payments,andhra-pradesh,2019,2,9226537,4613405202.681959
113,Financial Services,andhra-pradesh,2019,2,145310,26626696.771042537
114,Others,andhra-pradesh,2019,2,448802,361492238.3966455
115,Peer-to-peer payments,andhra-pradesh,2019,3,39023491,124338645329.51532
116,Recharge & bill payments,andhra-pradesh,2019,3,20147629,6893984676.598906
117,Merchant payments,andhra-pradesh,2019,3,16581787,7887394038.066369
118,Financial Services,andhra-pradesh,2019,3,122270,29778183.027080443
119,Others,andhra-pradesh,2019,3,413437,298142027.58625776
120,Peer-to-peer payments,andhra-pradesh,2019,4,57181511,178893550050.68753
121,Merchant payments,andhra-pradesh,2019,4,25122370,13476303367.50486
122,Recharge & bill payments,andhra-pradesh,2019,4,24469888,8335168605.691999
123,Financial Services,andhra-pradesh,2019,4,105662,26796571.745749153
124,Others,andhra-pradesh,2019,4,338672,216496893.16102877
125,Peer-to-peer payments,andhra-pradesh,2020,1,65452143,223088554055.04755
126,Merchant payments,andhra-pradesh,2020,1,31408022,18603161784.496994
127,Recharge & bill payments,andhra-pradesh,2020,1,30449644,10813530777.973532
128,Financial Services,andhra-pradesh,2020,1,75238,43739133.169823855
129,Others,andhra-pradesh,2020,1,292310,188228538.37489766
130,Peer-to-peer payments,andhra-pradesh,2020,2,73609921,262731724130.7907
131,Recharge & bill payments,andhra-pradesh,2020,2,41013987,16991006436.573467
132,Merchant payments,andhra-pradesh,2020,2,29976765,22625596525.44269
133,Financial Services,andhra-pradesh,2020,2,140941,145274999.15679634
134,Others,andhra-pradesh,2020,2,176241,90087654.60009979
135,Peer-to-peer payments,andhra-pradesh,2020,3,106791894,406461788252.32056
136,Merchant payments,andhra-pradesh,2020,3,54055557,40739580213.86052
137,Recharge & bill payments,andhra-pradesh,2020,3,43500067,19475104674.827175
138,Financial Services,andhra-pradesh,2020,3,243088,256074924.7187529
139,Others,andhra-pradesh,2020,3,312329,151582519.18136686
140,Peer-to-peer payments,andhra-pradesh,2020,4,152003791,566639138543.7708
141,Merchant payments,andhra-pradesh,2020,4,86581460,66654048149.95168
142,Recharge & bill payments,andhra-pradesh,2020,4,46810304,20936337211.557747
143,Financial Services,andhra-pradesh,2020,4,265470,305168772.45601684
144,Others,andhra-pradesh,2020,4,457527,306853355.59473807
145,Peer-to-peer payments,andhra-pradesh,2021,1,149313738,580542193013.0018
146,Merchant payments,andhra-pradesh,2021,1,97920281,70813192713.43477
147,Recharge & bill payments,andhra-pradesh,2021,1,41940689,20546424964.14482
148,Financial Services,andhra-pradesh,2021,1,225355,270313028.48452014
