,name,state,year,quarter,count,amount
0,north and middle andaman district,andaman-&-nicobar-islands,2018,1,442,931663.0770939873
1,south andaman district,andaman-&-nicobar-islands,2018,1,5688,12560249.34366581
2,nicobars district,andaman-&-nicobar-islands,2018,1,528,1139848.801225994
3,north and middle andaman district,andaman-&-nicobar-islands,2018,2,825,1317863.0834906558
4,south andaman district,andaman-&-nicobar-islands,2018,2,9395,23948235.51634325
5,nicobars district,andaman-&-nicobar-islands,2018,2,1120,3072436.9081196385
6,north and middle andaman district,andaman-&-nicobar-islands,2018,3,1283,4901529.518499676
7,south andaman district,andaman-&-nicobar-islands,2018,3,13511,44268112.46425246
8,nicobars district,andaman-&-nicobar-islands,2018,3,1471,6387829.151558982
9,north and middle andaman district,andaman-&-nicobar-islands,2018,4,2137,7955635.917688001
10,south andaman district,andaman-&-nicobar-islands,2018,4,20136,75411840.8018554
11,nicobars district,andaman-&-nicobar-islands,2018,4,1485,7180859.354911782
12,north and middle andaman district,andaman-&-nicobar-islands,2019,1,3264,9561708.736298349
13,south andaman district,andaman-&-nicobar-islands,2019,1,25683,85501972.38780196
14,nicobars district,andaman-&-nicobar-islands,2019,1,1539,7236059.549389593
15,north and middle andaman district,andaman-&-nicobar-islands,2019,2,3371,8612103.137888122
16,south andaman district,andaman-&-nicobar-islands,2019,2,28490,102530955.71341258
17,nicobars district,andaman-&-nicobar-islands,2019,2,1828,9111650.82436246
18,north and middle andaman district,andaman-&-nicobar-islands,2019,3,4049,11481466.283356793
19,south andaman district,andaman-&-nicobar-islands,2019,3,27421,91023888.32848613
20,nicobars district,andaman-&-nicobar-islands,2019,3,2300,11566421.475451011
21,north and middle andaman district,andaman-&-nicobar-islands,2019,4,4716,13524056.784573946
22,south andaman district,andaman-&-nicobar-islands,2019,4,27843,110930312.20611623
23,nicobars district,andaman-&-nicobar-islands,2019,4,2600,12384161.52668771
24,north and middle andaman district,andaman-&-nicobar-islands,2020,1,5674,14697371.617857102
25,south andaman district,andaman-&-nicobar-islands,2020,1,32713,134679396.90582755
