,index,registeredUsers,appOpens,state,year,quarter
0,north and middle andaman district,632,0,andaman-&-nicobar-islands,2018,1
1,south andaman district,5846,0,andaman-&-nicobar-islands,2018,1
2,nicobars district,262,0,andaman-&-nicobar-islands,2018,1
3,north and middle andaman district,911,0,andaman-&-nicobar-islands,2018,2
4,south andaman district,8143,0,andaman-&-nicobar-islands,2018,2
5,nicobars district,351,0,andaman-&-nicobar-islands,2018,2
6,north and middle andaman district,1208,0,andaman-&-nicobar-islands,2018,3
7,south andaman district,10474,0,andaman-&-nicobar-islands,2018,3
8,nicobars district,467,0,andaman-&-nicobar-islands,2018,3
9,north and middle andaman district,1553,0,andaman-&-nicobar-islands,2018,4
10,south andaman district,13133,0,andaman-&-nicobar-islands,2018,4
11,nicobars district,536,0,andaman-&-nicobar-islands,2018,4
12,north and middle andaman district,2013,0,andaman-&-nicobar-islands,2019,1
13,south andaman district,15961,0,andaman-&-nicobar-islands,2019,1
14,nicobars district,622,0,andaman-&-nicobar-islands,2019,1
15,north and middle andaman district,2417,6118,andaman-&-nicobar-islands,2019,2
16,south andaman district,18621,43569,andaman-&-nicobar-islands,2019,2
17,nicobars district,693,2953,andaman-&-nicobar-islands,2019,2
18,north and middle andaman district,2662,22064,andaman-&-nicobar-islands,2019,3
19,south andaman district,20518,138190,andaman-&-nicobar-islands,2019,3
20,nicobars district,751,10853,andaman-&-nicobar-islands,2019,3
21,north and middle andaman district,2955,26253,andaman-&-nicobar-islands,2019,4
22,south andaman district,22202,139646,andaman-&-nicobar-islands,2019,4
23,nicobars district,803,11113,andaman-&-nicobar-islands,2019,4
24,north and middle andaman district,3315,30444,andaman-&-nicobar-islands,2020,1
25,south andaman district,24174,151529,andaman-&-nicobar-islands,2020,1
26,nicobars district,879,11613,andaman-&-nicobar-islands,2020,1
27,north and middle andaman district,4100,56992,andaman-&-nicobar-islands,2020,2
28,south andaman district,27626,231071,andaman-&-nicobar-islands,2020,2
29,nicobars district,984,17009,andaman-&-nicobar-islands,2020,2
30,north and middle andaman district,5355,76553,andaman-&-nicobar-islands,2020,3
31,south andaman district,34833,417785,andaman-&-nicobar-islands,2020,3
32,nicobars district,1147,21227,andaman-&-nicobar-islands,2020,3
33,north and middle andaman district,7076,125915,andaman-&-nicobar-islands,2020,4
34,south andaman district,43908,725321,andaman-&-nicobar-islands,2020,4
35,nicobars district,1412,35972,andaman-&-nicobar-islands,2020,4
36,north and middle andaman district,7833,121680,andaman-&-nicobar-islands,2021,1
37,south andaman district,48352,837589,andaman-&-nicobar-islands,2021,1
38,nicobars district,1573,45067,andaman-&-nicobar-islands,2021,1
39,north and middle andaman district,8493,596182,andaman-&-nicobar-islands,2021,2
40,south andaman district,51903,1270226,andaman-&-nicobar-islands,2021,2
41,nicobars district,1699,381815,andaman-&-nicobar-islands,2021,2
42,north and middle andaman district,9263,759314,andaman-&-nicobar-islands,2021,3
43,south andaman district,55873,1771107,andaman-&-nicobar-islands,2021,3
