,name,registeredUsers,state,year,quarter
0,south andaman,5846,andaman-&-nicobar-islands,2018,1
1,north and middle andaman,632,andaman-&-nicobar-islands,2018,1
2,nicobars,262,andaman-&-nicobar-islands,2018,1
3,744103,1608,andaman-&-nicobar-islands,2018,1
4,744101,1108,andaman-&-nicobar-islands,2018,1
5,744105,1075,andaman-&-nicobar-islands,2018,1
6,744102,1006,andaman-&-nicobar-islands,2018,1
7,744104,272,andaman-&-nicobar-islands,2018,1
8,744202,237,andaman-&-nicobar-islands,2018,1
9,744112,215,andaman-&-nicobar-islands,2018,1
10,744301,207,andaman-&-nicobar-islands,2018,1
11,744107,196,andaman-&-nicobar-islands,2018,1
12,744211,156,andaman-&-nicobar-islands,2018,1
13,south andaman,8143,andaman-&-nicobar-islands,2018,2
14,north and middle andaman,911,andaman-&-nicobar-islands,2018,2
15,nicobars,351,andaman-&-nicobar-islands,2018,2
16,744103,2188,andaman-&-nicobar-islands,2018,2
17,744101,1521,andaman-&-nicobar-islands,2018,2
18,744105,1492,andaman-&-nicobar-islands,2018,2
19,744102,1419,andaman-&-nicobar-islands,2018,2
20,744104,396,andaman-&-nicobar-islands,2018,2
21,744202,343,andaman-&-nicobar-islands,2018,2
22,744112,299,andaman-&-nicobar-islands,2018,2
23,744107,293,andaman-&-nicobar-islands,2018,2
24,744301,273,andaman-&-nicobar-islands,2018,2
25,744211,240,andaman-&-nicobar-islands,2018,2
26,south andaman,10474,andaman-&-nicobar-islands,2018,3
27,north and middle andaman,1208,andaman-&-nicobar-islands,2018,3
28,nicobars,467,andaman-&-nicobar-islands,2018,3
29,744103,2741,andaman-&-nicobar-islands,2018,3
30,744101,1978,andaman-&-nicobar-islands,2018,3
31,744105,1935,andaman-&-nicobar-islands,2018,3
32,744102,1803,andaman-&-nicobar-islands,2018,3
33,744104,507,andaman-&-nicobar-islands,2018,3
34,744202,446,andaman-&-nicobar-islands,2018,3
35,744112,388,andaman-&-nicobar-islands,2018,3
36,744107,384,andaman-&-nicobar-islands,2018,3
37,744301,372,andaman-&-nicobar-islands,2018,3
38,744211,327,andaman-&-nicobar-islands,2018,3
39,south andaman,13133,andaman-&-nicobar-islands,2018,4
40,north and middle andaman,1553,andaman-&-nicobar-islands,2018,4
41,nicobars,536,andaman-&-nicobar-islands,2018,4
42,744103,3373,andaman-&-nicobar-islands,2018,4
43,744101,2498,andaman-&-nicobar-islands,2018,4
44,744105,2416,andaman-&-nicobar-islands,2018,4
45,744102,2231,andaman-&-nicobar-islands,2018,4
46,744104,634,andaman-&-nicobar-islands,2018,4
47,744202,554,andaman-&-nicobar-islands,2018,4
48,744107,548,andaman-&-nicobar-islands,2018,4
49,744112,496,andaman-&-nicobar-islands,2018,4
50,744211,433,andaman-&-nicobar-islands,2018,4
51,744301,425,andaman-&-nicobar-islands,2018,4
52,south andaman,15961,andaman-&-nicobar-islands,2019,1
53,north and middle andaman,2013,andaman-&-nicobar-islands,2019,1
54,nicobars,622,andaman-&-nicobar-islands,2019,1
55,744103,4136,andaman-&-nicobar-islands,2019,1
56,744101,3030,andaman-&-nicobar-islands,2019,1
57,744105,2994,andaman-&-nicobar-islands,2019,1
58,744102,2667,andaman-&-nicobar-islands,2019,1
59,744104,756,andaman-&-nicobar-islands,2019,1
60,744202,753,andaman-&-nicobar-islands,2019,1
61,744107,667,andaman-&-nicobar-islands,2019,1
62,744112,585,andaman-&-nicobar-islands,2019,1
63,744211,524,andaman-&-nicobar-islands,2019,1
