,entityName,state,year,quarter,count,amount
0,south andaman,andaman-&-nicobar-islands,2018,1,5688,12560249.343665812
1,nicobars,andaman-&-nicobar-islands,2018,1,528,1139848.801225994
2,north and middle andaman,andaman-&-nicobar-islands,2018,1,442,931663.0770939873
3,744101,andaman-&-nicobar-islands,2018,1,1622,2769297.9039997994
4,744103,andaman-&-nicobar-islands,2018,1,1223,2238041.8716124697
5,744102,andaman-&-nicobar-islands,2018,1,969,3519059.937562449
6,744105,andaman-&-nicobar-islands,2018,1,685,1298560.9515503529
7,744104,andaman-&-nicobar-islands,2018,1,340,1039715.3111450541
8,744107,andaman-&-nicobar-islands,2018,1,302,556059.5308556345
9,744301,andaman-&-nicobar-islands,2018,1,283,445739.1633851439
10,744112,andaman-&-nicobar-islands,2018,1,269,333709.56700413954
11,744202,andaman-&-nicobar-islands,2018,1,193,238914.01667155625
12,744302,andaman-&-nicobar-islands,2018,1,168,547469.6509380838
13,south andaman,andaman-&-nicobar-islands,2018,2,9395,23948235.51634325
14,nicobars,andaman-&-nicobar-islands,2018,2,1120,3072436.9081196385
15,north and middle andaman,andaman-&-nicobar-islands,2018,2,825,1317863.0834906558
16,744101,andaman-&-nicobar-islands,2018,2,2701,6310089.917084678
17,744103,andaman-&-nicobar-islands,2018,2,1965,4752146.698501162
18,744102,andaman-&-nicobar-islands,2018,2,1525,5810267.574788321
19,744105,andaman-&-nicobar-islands,2018,2,997,2200332.971862734
20,744301,andaman-&-nicobar-islands,2018,2,767,1953749.3787199226
21,744104,andaman-&-nicobar-islands,2018,2,659,1650346.1906506256
22,744107,andaman-&-nicobar-islands,2018,2,594,1601569.9821441039
23,744112,andaman-&-nicobar-islands,2018,2,432,578829.1795229593
24,744202,andaman-&-nicobar-islands,2018,2,405,626523.9803147907
25,744302,andaman-&-nicobar-islands,2018,2,291,1026590.0735863491
26,south andaman,andaman-&-nicobar-islands,2018,3,13511,44268112.46425246
27,nicobars,andaman-&-nicobar-islands,2018,3,1471,6387829.151558982
28,north and middle andaman,andaman-&-nicobar-islands,2018,3,1283,4901529.518499676
29,744101,andaman-&-nicobar-islands,2018,3,3462,10833893.444488766
30,744103,andaman-&-nicobar-islands,2018,3,3182,10184154.358592123
31,744102,andaman-&-nicobar-islands,2018,3,2224,10365275.479700703
32,744105,andaman-&-nicobar-islands,2018,3,1613,5152534.080403434
33,744104,andaman-&-nicobar-islands,2018,3,1029,2588077.6866583927
34,744301,andaman-&-nicobar-islands,2018,3,975,4256576.349618757
35,744112,andaman-&-nicobar-islands,2018,3,579,1145815.7801705198
36,744107,andaman-&-nicobar-islands,2018,3,547,1492405.302862124
37,744302,andaman-&-nicobar-islands,2018,3,417,1976781.9199490356
38,744202,andaman-&-nicobar-islands,2018,3,341,2099404.0789861116
39,south andaman,andaman-&-nicobar-islands,2018,4,20136,75411840.8018554
40,north and middle andaman,andaman-&-nicobar-islands,2018,4,2137,7955635.917688001
41,nicobars,andaman-&-nicobar-islands,2018,4,1485,7180859.354911782
42,744101,andaman-&-nicobar-islands,2018,4,4674,16392855.280625317
43,744103,andaman-&-nicobar-islands,2018,4,4576,17022520.257624768
44,744102,andaman-&-nicobar-islands,2018,4,3306,17019977.183053624
45,744105,andaman-&-nicobar-islands,2018,4,2513,9935282.832151461
46,744104,andaman-&-nicobar-islands,2018,4,1432,6091757.917089159
47,744211,andaman-&-nicobar-islands,2018,4,1225,3451359.606027063
48,744301,andaman-&-nicobar-islands,2018,4,928,4606293.657525641
49,744112,andaman-&-nicobar-islands,2018,4,759,2208675.0435713646
50,744107,andaman-&-nicobar-islands,2018,4,747,1825659.5128978956
51,744202,andaman-&-nicobar-islands,2018,4,702,3797054.1677634423
52,south andaman,andaman-&-nicobar-islands,2019,1,25683,85501972.38780196
53,north and middle andaman,andaman-&-nicobar-islands,2019,1,3264,9561708.736298349
54,nicobars,andaman-&-nicobar-islands,2019,1,1539,7236059.549389593
55,744103,andaman-&-nicobar-islands,2019,1,5742,19401964.77965755
56,744101,andaman-&-nicobar-islands,2019,1,5156,15501306.227195919
57,744102,andaman-&-nicobar-islands,2019,1,3925,16683547.094795756
58,744105,andaman-&-nicobar-islands,2019,1,3553,11588669.48032856
59,744104,andaman-&-nicobar-islands,2019,1,2833,9141657.219605077
60,744211,andaman-&-nicobar-islands,2019,1,1511,5794838.401831552
61,744202,andaman-&-nicobar-islands,2019,1,1112,3613381.294736007
62,744107,andaman-&-nicobar-islands,2019,1,1029,3592930.2975779255
63,744301,andaman-&-nicobar-islands,2019,1,920,4652963.41114777
64,744112,andaman-&-nicobar-islands,2019,1,802,1893718.6537822199
65,south andaman,andaman-&-nicobar-islands,2019,2,28490,102530955.71341258
66,north and middle andaman,andaman-&-nicobar-islands,2019,2,3371,8612103.13788812
67,nicobars,andaman-&-nicobar-islands,2019,2,1828,9111650.82436246
68,744104,andaman-&-nicobar-islands,2019,2,6142,15625676.560883244
69,744103,andaman-&-nicobar-islands,2019,2,5847,23751450.067206983
70,744101,andaman-&-nicobar-islands,2019,2,4863,19061125.41121897
71,744102,andaman-&-nicobar-islands,2019,2,4120,18948733.987097777
72,744105,andaman-&-nicobar-islands,2019,2,3500,13418692.199162653
73,744202,andaman-&-nicobar-islands,2019,2,1153,3619993.3910789257
74,744107,andaman-&-nicobar-islands,2019,2,1124,2967445.3902032813
75,744211,andaman-&-nicobar-islands,2019,2,1047,3168331.9917352106
76,744301,andaman-&-nicobar-islands,2019,2,1007,4849284.51925976
77,744112,andaman-&-nicobar-islands,2019,2,763,2928099.608406143
78,south andaman,andaman-&-nicobar-islands,2019,3,27421,91023888.32848613
79,north and middle andaman,andaman-&-nicobar-islands,2019,3,4049,11481466.283356791
80,nicobars,andaman-&-nicobar-islands,2019,3,2300,11566421.475451011
81,744103,andaman-&-nicobar-islands,2019,3,5680,19906337.014255583
82,744101,andaman-&-nicobar-islands,2019,3,5606,18745152.093515635
83,744104,andaman-&-nicobar-islands,2019,3,4786,15754793.354826454
84,744102,andaman-&-nicobar-islands,2019,3,3643,14572605.602745283
85,744105,andaman-&-nicobar-islands,2019,3,3512,11767223.99688773
86,744202,andaman-&-nicobar-islands,2019,3,1417,3875602.0982028744
87,744301,andaman-&-nicobar-islands,2019,3,1402,6195496.621729916
88,744211,andaman-&-nicobar-islands,2019,3,1118,2983697.449378184
89,744107,andaman-&-nicobar-islands,2019,3,914,1988299.759710987
90,744112,andaman-&-nicobar-islands,2019,3,833,2198831.6919406196
91,south andaman,andaman-&-nicobar-islands,2019,4,27843,110930312.20611623
92,north and middle andaman,andaman-&-nicobar-islands,2019,4,4716,13524056.784573946
93,nicobars,andaman-&-nicobar-islands,2019,4,2600,12384161.52668771
94,744104,andaman-&-nicobar-islands,2019,4,6633,20626642.701508522
95,744101,andaman-&-nicobar-islands,2019,4,5282,23247752.473849062
96,744103,andaman-&-nicobar-islands,2019,4,4840,19792507.955761045
97,744105,andaman-&-nicobar-islands,2019,4,3528,15302141.17488026
98,744102,andaman-&-nicobar-islands,2019,4,3237,15350444.97320769
99,744202,andaman-&-nicobar-islands,2019,4,1783,5800016.5561128855
100,744211,andaman-&-nicobar-islands,2019,4,1596,7908264.721918669
101,744301,andaman-&-nicobar-islands,2019,4,1549,7056478.928838715
102,744201,andaman-&-nicobar-islands,2019,4,886,946768.0636478986
103,744107,andaman-&-nicobar-islands,2019,4,777,3030368.911900454
104,south andaman,andaman-&-nicobar-islands,2020,1,32713,134679396.90582758
105,north and middle andaman,andaman-&-nicobar-islands,2020,1,5674,14697371.617857102
106,nicobars,andaman-&-nicobar-islands,2020,1,2911,12099543.773590053
107,744101,andaman-&-nicobar-islands,2020,1,11793,58229349.02415232
108,744103,andaman-&-nicobar-islands,2020,1,5870,22009443.073053975
109,744105,andaman-&-nicobar-islands,2020,1,4635,16774043.311987936
110,744102,andaman-&-nicobar-islands,2020,1,3820,14517706.12269676
111,744211,andaman-&-nicobar-islands,2020,1,1837,8425387.79004211
112,744301,andaman-&-nicobar-islands,2020,1,1819,6901162.107519586
113,744202,andaman-&-nicobar-islands,2020,1,1794,5037742.395579022
114,744104,andaman-&-nicobar-islands,2020,1,1302,5293130.290633954
115,744201,andaman-&-nicobar-islands,2020,1,1157,1242638.821252932
116,744107,andaman-&-nicobar-islands,2020,1,1043,2990354.4448547475
117,south andaman,andaman-&-nicobar-islands,2020,2,48088,132855778.74838585
118,north and middle andaman,andaman-&-nicobar-islands,2020,2,10979,22447714.061058953
119,nicobars,andaman-&-nicobar-islands,2020,2,3895,14341508.60470232
120,744101,andaman-&-nicobar-islands,2020,2,11868,48293323.21851964
121,744103,andaman-&-nicobar-islands,2020,2,10035,26197535.98945152
122,744105,andaman-&-nicobar-islands,2020,2,9341,23203019.858980607
123,744102,andaman-&-nicobar-islands,2020,2,6012,17786750.907515876
124,744202,andaman-&-nicobar-islands,2020,2,3722,8924121.010762567
125,744107,andaman-&-nicobar-islands,2020,2,2555,3980470.6853698147
126,744301,andaman-&-nicobar-islands,2020,2,2275,9055232.527755566
127,744211,andaman-&-nicobar-islands,2020,2,2045,3319717.6328789736
128,744205,andaman-&-nicobar-islands,2020,2,1847,4459064.90732021
129,744104,andaman-&-nicobar-islands,2020,2,1840,3334591.822304932
130,south andaman,andaman-&-nicobar-islands,2020,3,95323,282366109.20523936
131,north and middle andaman,andaman-&-nicobar-islands,2020,3,16747,33486883.37042556
